job,专业,性格,软件技能,工作内容,品质
小红书运营推广,"小红书运营推广
[无",具有创新精神、执行力强、有钻研精神和创意多,无,负责小红书平台账户的运营，包括账号定位，日常发布，内容输出，粉丝运营等，打造IP账号；负责小红书平台的内容策划和流程把控，粉丝互动，私信沟通，会做评论，热门话题，实现流量增长目标；负责小红书内容选题、拍摄、剪辑及制作，统计跟踪各平台数据，挖掘和分析用户行为及需求；通过小红书运营，打通从粉丝到客户的转化流程，提高客户数量,具有学习能力强，对小红书平台熟悉的能力]
小红书运营,"小红书运营
[无",无,小红书后台操作,完成内容策划、图片/视频编辑排版等；根据账号定位风格与平台规划，负责小红书账号的内容产出；分析总结笔记数据，打造爆文；会拍摄剪辑视频，写脚本的优先,具有一定的文案功底和审美、创新能力]
文案策划专员,"文案策划专员
[无",具有执行力、抗压能力、沟通协调能力、创意性思维,微信、微博、小红书、抖音,主要负责或协同、协调品牌产品项目文字策划、品牌及产品等营销活动创意策划策划、确保项目完整落地等、负责品牌产品上架的公众号、小红书、微博、私域朋友圈、视频号等平台的内容输出、策划、撰写、把控与品牌产品相关的文字内容等,熟悉品牌相关知识，有品牌内容策划、文字功底强、有执行力、抗压能力、沟通协调能力、有创意性思维的个人品质]
自媒体专员,"自媒体专员
无",活泼好学,剪映、PR,策划撰写文案、内容拍摄发布、社交媒体管理、挖掘受众喜好、内容分析创新运用,有创意、有想法、有冲劲
小红书运营主管,"小红书运营主管
[无",数据整理和分析能力、责任心、细致、积极主动,小红书、抖音,制定推广方案、监管媒介执行工作、排期与KOL沟通、内容审稿、竞品分析、投放效果复盘分析、账号内容布局及审核、持续优化,有管理经验、熟悉个护行业、数据整理和分析能力、媒介行业相关经验、掌握投放平台操作、适应高强度快节奏的工作压力]
新媒体运营专员,"新媒体运营专员
[无",沟通协调能力和团队合作精神,小红书、公众号、抖音、视频号的内容撰写及拍摄,内容撰写、推广、内容图文策划、短视频拍摄剪辑、研究新媒体平台运营规律和用户需求、收集和分析用户反馈及数据,敏锐的市场洞察力、良好的文字表达能力、创意思维和数据分析能力]
小红书推广专员PR,"小红书推广专员PR
[无",无,抖音、小红书,挖掘抖音、小红书、b站等优质kol、koc进行博主筛选、搜集、合作并推广产品、做好投放、监控、统计、分析、根据款式风格找合适博主、审核博主内容,女装服饰爱好者、具有一定的审美能力、抖音、小红书、平台重度爱好者、有服装pr经验者优先]
小红书运营,"小红书运营
[无",执行力强，审美在线，敏锐的洞察力，有想象力,办公软件、数据分析,负责小红书官方账号的创意内容输出、撰写文案、拍摄内容、数据分析、市场信息收集、投流策略管理,小红书重度使用者，具备执行能力和判断能力，对数字敏感，具有想象力]
小红书运营专员,"小红书运营专员
无",无,无,"负责公司小红书账号的内容输出,运营管理,负责图文编辑,视频剪辑,笔记发布等负责寻找并对接平台网红合作相关事宜负责小红书平台的数据分析统计 每篇发文的投产比和开口率  根据小红书平台的机制和热点 及时调整玩法 策划内容",无
小红书运营,"小红书运营
无",团队管理经验,小红书平台规则及玩法,人员规划和搭建、内容规划与落地、投放效果分析,了解小红书平台玩法、团队管理能力、独立分析能力
小红书抖音运营,无,有挑战精神,熟知小红书，抖音,布置装扮的采集，执行，发布,创新能力，执行力
小红书运营专员,"小红书运营专员
[市场营销、广告、新闻传播等相关专业",对社交媒体趋势敏感、优秀的沟通协调能力和团队合作精神,Excel、Google Analytics,内容策划与创作、社区互动管理、数据分析、KOL/KOC合作、趋势洞察、跨部门协作,文字功底、创意思维、数据分析能力]
小红书运营,"小红书运营
[无",认真负责,无,日常内容的编辑、发布、维护、管理、互动,创新]
小红书运营主管,"小红书运营主管
[无",细致、有创意,小红书、抖音、微博等内容平台,账号运营、内容策划、数据分析、社群运营,文案撰写能力、数据分析能力、熟悉内容平台规则]
高级小红书运营,"高级小红书运营
[无",细致、有耐心,无,平台账号维护、引流至私域、运营问题解决,有金融行业运营经验、细致、有耐心]
小红书运营专员,"小红书运营专员
[无",责任心、执行力、团队合作精神,熟悉小红书平台特性、优秀的内容创作能力、良好的数据分析能力,内容策划与日常运营、数据分析优化、团队协作、用户互动,熟悉小红书平台特性、优秀的内容编辑能力、良好的数据分析能力]
小红书运营,"小红书运营
[无",细心、创新、有耐心,新媒体运营、内容创作、数据分析,内容策划与运营、短视频制作、社群管理,熟练操作新媒体平台、具备良好的内容创作能力、较强的数据分析能力]
口腔小红书运营,"口腔小红书运营
[无",无,小红书平台运营机制,负责口腔小红书平台的日常运营管理、内容策划与用户互动、数据分析优化运营策略,具有口腔行业小红书运营经验、良好的内容编辑能力和数据分析能力]
"小红书新媒体运营
[市场营销、新媒体、传媒等相关专业",具备团队协作精神、良好的沟通能力、耐心、细致、负责,熟悉小红书运营规则和玩法、具备数据分析和处理能力,负责小红书官号笔记图文发布及日常运营工作；内容运营包括图文创作、视频拍摄与剪辑、话题输出等工作；监测账号粉丝互动情况，及时回复用户留言，维护良好的用户关系；分析账号数据，了解用户需求和兴趣变化，分析竞争对手的运营策略，调整内容发布策略，优化和改进账号运营效果；根据品牌策略，对主推产品传播种草，沟通与协调达人，以确保及时并高质量完成种草内容；策划和执行小红书相关店铺活动、合作推广等，以增加账号的粉丝数和用户活跃度,文字功底优秀、具备优秀的图文能力和视频输出能力，关注行业热点话题，有0,1成功案例更佳]
小红书运营,"小红书运营
[艺术类、广告专业",有审美和创新能力,无,负责编辑小红书内容运营,创新能力]
小红书运营,"小红书运营
[无",创意、沟通协调能力,无,制定整体运营策略、账号管理、内容策划、媒介投放、用户分析,创作能力、市场洞察力、沟通协调能力、创新意识]
小红书运营实习生,"小红书运营实习生
【无",工作态度认真，积极完成各项工作,熟练使用ps、剪映,独立产出小红书图文内容、维护小红书粉丝互动、周期性汇总数据、协助优化内容形式及成交效率,有独立思考能力，愿意不断学习】
小红书运营专员,"小红书运营专员
[市场营销、新闻传播",沟通能力、团队协作精神,无,内容策划与制作、平台运营与推广、数据分析与优化、用户互动与维护、竞品分析与应对、合作资源拓展与维护、品牌形象塑造与传播,文字功底、创意能力、学习能力、自我驱动力]
小红书运营专员,"小红书运营专员
【无",细心、责任心强,手机作图、PS,文案、图文/视频编写与发布、平台日常运营规划、活动准备、数据监控与分析,独立、文字功底深厚、视频拍摄与剪辑能力、营销策划能力】
小红书运营,"无
审美、音乐细胞、热门视频基因
手机拍摄和剪辑、短视频逻辑、视频调色、文案写作
多渠道宣传、账号运营、视频拍摄和剪辑、文案撰写、链接上架
审美观念、创意思维、女装拍摄经验",无,无,无,无
小红书运营专员,"小红书运营专员
[无",细心、有耐心,无,账号的运营和管理，完成领导交代的其它事项,细心、有耐心、责任心]
